ID,Groups,Tasks,Acc,Eff,Java,Vulns,Perc
R_21sxZN0xSIk4qTj,1,Injection,0.0,0.0,1.5,2.0,3.0
R_21sxZN0xSIk4qTj,1,XSS,0.0,0.0,1.5,2.0,3.0
R_21sxZN0xSIk4qTj,1,DoS,0.33333,0.02447,1.5,2.0,2.6
R_2CNgG1jDwk53nvK,6,Path,0.0,0.0,1.0,1.0,2.0
R_2CNgG1jDwk53nvK,6,Injection,0.0,0.0,1.0,1.0,1.8
R_2CNgG1jDwk53nvK,6,XSS,0.0,0.0,1.0,1.0,1.4
R_2CNgG1jDwk53nvK,6,DoS,0.0,0.0,1.0,1.0,1.8
R_3k7ErOo51YmiLjf,6,Path,0.0,0.0,2.0,1.5,2.4
R_3k7ErOo51YmiLjf,6,Injection,0.0,0.0,2.0,1.5,2.2
R_3k7ErOo51YmiLjf,6,XSS,0.25,0.02759,2.0,1.5,2.4
R_3k7ErOo51YmiLjf,6,DoS,0.0,0.0,2.0,1.5,2.4
R_5Bjq6Q5Eda092bn,5,Path,0.0,0.0,1.0,1.0,1.8
R_5Bjq6Q5Eda092bn,5,Injection,0.2,0.02701,1.0,1.0,1.8
R_5Bjq6Q5Eda092bn,5,XSS,0.0,0.0,1.0,1.0,1.8
R_5Bjq6Q5Eda092bn,5,DoS,0.0,0.0,1.0,1.0,1.8
R_3kpREA7clqzBhW4,6,Path,0.0,0.0,2.0,1.0,1.4
R_3kpREA7clqzBhW4,6,Injection,0.0,0.0,2.0,1.0,1.4
R_3kpREA7clqzBhW4,6,XSS,0.0,0.0,2.0,1.0,1.4
R_3kpREA7clqzBhW4,6,DoS,0.0,0.0,2.0,1.0,1.4
R_1OH4FW3H64iAgIu,3,Path,0.15385,0.04709,2.0,2.0,2.2
R_1OH4FW3H64iAgIu,3,Injection,0.4,0.04709,2.0,2.0,2.2
R_1OH4FW3H64iAgIu,3,XSS,0.0,0.0,2.0,2.0,2.0
R_1OH4FW3H64iAgIu,3,DoS,0.0,0.0,2.0,2.0,2.6
R_1hBi5XNfwi1cv6p,2,Path,0.0,0.0,0.0,1.0,1.2
R_1hBi5XNfwi1cv6p,2,Injection,0.0,0.0,0.0,1.0,1.2
R_1hBi5XNfwi1cv6p,2,XSS,0.25,0.02494,0.0,1.0,1.0
R_1hBi5XNfwi1cv6p,2,DoS,0.0,0.0,0.0,1.0,1.0
R_2qrUe6XhxGreo3M,4,Path,0.0,0.0,2.0,0.5,1.4
R_2qrUe6XhxGreo3M,4,Injection,0.0,0.0,2.0,0.5,1.4
R_2qrUe6XhxGreo3M,4,XSS,0.0,0.0,2.0,0.5,2.4
R_2qrUe6XhxGreo3M,4,DoS,0.0,0.0,2.0,0.5,1.4
R_1ifn94RNqMnEO3L,4,Path,0.0,0.0,3.0,1.5,2.6
R_1ifn94RNqMnEO3L,4,Injection,0.0,0.0,3.0,1.5,2.8
R_1ifn94RNqMnEO3L,4,XSS,0.0,0.0,3.0,1.5,3.2
R_1ifn94RNqMnEO3L,4,DoS,0.0,0.0,3.0,1.5,3.2
R_2Ui9T81qAVvDLZx,3,Path,0.15385,0.05596,3.0,1.0,3.6
